PlantID,Treatment,T1_strain,T2_strain,Block,Leaf1,Leaf2,Leaf3,Leaf4,Dead1,Dead2,Dead3,Dead4,ExtraNN,Notes,Pink_nod_num,White_nod_num,Total_nod_num,Proportion_pink_count,Proportion_pink,Above_biomass,Leaf4attached,LeafWeightAprox
243,GG,G,G,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
244,NN,N,N,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
245,NN,N,N,2,1,2,3,4,0,0,0,0,0,0,0,0,0,NA,NA,0.004,2,0.002
246,BG,B,G,2,2,3,4,5,0,0,0,0,0,0,11,18,29, 11/29,0.379310345,0.0118,3,0.003933333
247,GG,G,G,2,2,3,4,5,0,0,0,0,0,0,9,0,9,1,1,0.0144,4,0.0036
248,GN,G,N,2,0,0,0,0,1,1,1,1,0,COLONIZER PRESENT,NA,NA,NA,NA,NA,,,
249,BG,B,G,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
250,NB,N,B,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
251,GN,G,N,2,2,2,4,9,0,0,0,0,0,0,8,0,8,1,1,0.0419,8,0.0052375
252,GB,G,B,2,2,3,4,6,0,0,0,0,0,0,3,2,5,  3/5 ,0.6,0.013,3,0.004333333
253,GN,G,N,2,2,3,4,7,0,0,0,0,0,0,12,0,12,1,1,0.0249,6,0.00415
254,NG,N,G,2,2,3,3,5,0,0,0,0,0,0,7,0,7,1,1,0.0123,3,0.0041
255,NG,N,G,2,2,2,3,NA,0,0,0,NA,0,MISPLACED?,NA,NA,NA,NA,NA,,,
256,GB,G,B,2,2,3,4,6,0,0,0,0,0,herbivory,4,0,4,1,1,0.0061,1,0.0061
257,NB,N,B,2,2,4,5,8,0,0,0,0,0,HUGE RED NODULE,30,3,33, 10/11,0.909090909,0.0281,6,0.004683333
258,NN,N,N,2,2,3,4,7,0,0,0,0,1,0,3,0,3,1,1,0.0107,2,0.00535
259,GB,G,B,2,2,3,5,7,0,0,0,0,0,0,15,4,19, 15/19,0.789473684,0.0162,1,0.0162
260,NN,N,N,2,2,2,4,4,0,0,0,0,0,0,0,0,0,NA,NA,0.0075,2,0.00375
261,GB,G,B,2,2,3,3,6,0,0,0,0,0,0,3,3,6,  1/2 ,0.5,0.0056,5,0.00112
262,GN,G,N,2,2,3,5,10,0,0,0,0,0,0,20,0,20,1,1,0.06,10,0.006
263,BB,B,B,2,2,2,2,2,0,1,1,1,0,0,NA,NA,NA,NA,NA,,,
264,NN,N,N,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
265,BN,B,N,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
266,GB,G,B,2,2,3,4,4,0,0,0,0,0,0,10,1,11, 10/11,0.909090909,0.0045,2,0.00225
267,GN,G,N,2,2,3,3,3,0,0,0,0,0,0,5,0,5,1,1,0.0042,2,0.0021
268,NN,N,N,2,2,2,2,3,0,0,0,0,0,0,0,0,0,NA,NA,0.0013,2,0.00065
269,GG,G,G,2,2,3,4,5,0,0,0,0,0,0,2,0,2,1,1,0.0096,4,0.0024
270,BB,B,B,2,2,2,2,2,0,1,1,1,0,0,NA,NA,NA,NA,NA,,,
271,BB,B,B,2,2,3,3,6,0,0,0,0,0,0,7,23,30,  7/30,0.233333333,0.0073,2,0.00365
272,NB,N,B,2,2,2,2,2,0,1,1,1,0,0,NA,NA,NA,NA,NA,,,
273,BN,B,N,2,0,2,3,5,0,0,0,0,0,POSSIBLY COLONIZER,11,14,25, 11/25,0.44,0.0126,5,0.00252
274,BB,B,B,2,2,2,2,2,0,0,1,1,0,0,NA,NA,NA,NA,NA,,,
275,GN,G,N,2,2,2,5,7,0,0,0,0,0,0,10,0,10,1,1,0.0263,7,0.003757143
276,BB,B,B,2,2,3,3,3,0,0,1,1,0,0,0,0,0,NA,NA,,,
277,NB,N,B,2,1,1,1,1,0,1,1,1,0,0,NA,NA,NA,NA,NA,,,
278,GG,G,G,2,2,2,2,2,0,0,1,1,0,0,NA,NA,NA,NA,NA,,,
279,BB,B,B,2,2,3,4,5,0,0,0,0,0,0,2,2,4,  1/2 ,0.5,0.0093,4,0.002325
280,NB,N,B,2,2,2,2,2,0,0,0,1,0,0,0,0,0,NA,NA,0.0001,0,
